k,phi,alpha,avg_size_over_time,avg_density_sampled,avg_time_ms
32,0.1,0.2,10.2616,0.862044,103.824
32,0.1,0.4,8.84985,0.852202,98.4192
32,0.1,0.5,8.30192,0.908102,92.212
32,0.1,0.6,7.61084,0.899112,93.5753
32,0.1,0.7,7.17775,0.910089,95.6145
32,0.1,0.8,8.29454,0.91583,108.644
32,0.3,0.2,10.2333,0.887036,105.668
32,0.3,0.4,8.47842,0.883708,100.028
32,0.3,0.5,10.0957,0.872922,95.4933
32,0.3,0.6,7.94636,0.908702,96.9025
32,0.3,0.7,8.10843,0.904026,94.7591
32,0.3,0.8,8.69342,0.896441,94.8197
32,0.5,0.2,9.90277,0.892891,106.637
32,0.5,0.4,10.0954,0.879191,100.206
32,0.5,0.5,8.59001,0.912914,98.1098
32,0.5,0.6,8.31486,0.899728,94.3755
32,0.5,0.7,7.54556,0.881856,90.8757
32,0.5,0.8,8.236,0.912447,92.2193
32,0.7,0.2,10.8361,0.838262,111.818
32,0.7,0.4,9.48009,0.890909,96.1447
32,0.7,0.5,8.64352,0.860565,96.0815
32,0.7,0.6,7.37861,0.89316,97.2983
32,0.7,0.7,9.01493,0.872495,105.644
32,0.7,0.8,7.60564,0.898011,92.8949
32,0.9,0.2,9.82089,0.877537,105.198
32,0.9,0.4,9.30355,0.877011,95.4135
32,0.9,0.5,8.94342,0.883541,93.084
32,0.9,0.6,8.24053,0.888029,92.6757
32,0.9,0.7,7.05195,0.894287,109.933
32,0.9,0.8,8.3682,0.878839,90.0135
64,0.1,0.2,8.94018,0.910742,176.049
64,0.1,0.4,7.32784,0.929665,161.474
64,0.1,0.5,5.44421,0.951872,144.837
64,0.1,0.6,6.56378,0.926616,147.336
64,0.1,0.7,6.4912,0.948773,145.335
64,0.1,0.8,5.84219,0.947088,147.478
64,0.3,0.2,9.1928,0.923619,173.426
64,0.3,0.4,8.95218,0.930161,156.544
64,0.3,0.5,6.61499,0.957354,170.44
64,0.3,0.6,5.82428,0.947265,147.575
64,0.3,0.7,6.3515,0.953218,149.295
64,0.3,0.8,6.80244,0.94559,149.818
64,0.5,0.2,8.26319,0.909886,165.703
64,0.5,0.4,8.01649,0.929042,154.69
64,0.5,0.5,6.75183,0.954522,147.459
64,0.5,0.6,7.16329,0.937274,149.886
64,0.5,0.7,5.77232,0.934627,140.78
64,0.5,0.8,6.27297,0.95645,140.619
64,0.7,0.2,7.07274,0.922045,163.71
64,0.7,0.4,6.4372,0.938853,145.745
64,0.7,0.5,7.89173,0.923868,149.703
64,0.7,0.6,6.05022,0.936183,147.087
64,0.7,0.7,6.19539,0.92237,142.351
64,0.7,0.8,6.34292,0.937929,145.756
64,0.9,0.2,7.3721,0.916908,166.235
64,0.9,0.4,7.06397,0.932657,149.671
64,0.9,0.5,6.60469,0.931883,145.65
64,0.9,0.6,7.85188,0.928817,148.447
64,0.9,0.7,7.91551,0.899269,151.306
64,0.9,0.8,6.54497,0.920518,146.14
128,0.1,0.2,6.62854,0.959453,287.889
128,0.1,0.4,5.22352,0.957646,269.776
128,0.1,0.5,5.62764,0.949069,274.311
128,0.1,0.6,5.95196,0.958934,257.575
128,0.1,0.7,5.08974,0.961262,263.201
128,0.1,0.8,5.54518,0.968241,258.034
128,0.3,0.2,7.37411,0.956656,291.958
128,0.3,0.4,5.68185,0.961708,278.899
128,0.3,0.5,4.99194,0.967231,272.321
128,0.3,0.6,5.28184,0.970636,270.196
128,0.3,0.7,5.02918,0.98067,252.764
128,0.3,0.8,4.99888,0.972214,249.847
128,0.5,0.2,7.06247,0.962005,318.559
128,0.5,0.4,6.43332,0.960043,277.235
128,0.5,0.5,5.79682,0.9632,259.729
128,0.5,0.6,5.58759,0.9712,254.172
128,0.5,0.7,5.94659,0.97105,265.076
128,0.5,0.8,4.99997,0.967617,254.85
128,0.7,0.2,6.44579,0.948878,286.027
128,0.7,0.4,5.3285,0.958178,267.721
128,0.7,0.5,5.52699,0.962619,257.95
128,0.7,0.6,4.88989,0.964421,260.896
128,0.7,0.7,5.98115,0.969665,258.815
128,0.7,0.8,5.02037,0.937307,246.192
128,0.9,0.2,6.25731,0.938578,282.466
128,0.9,0.4,5.74036,0.950884,262.122
128,0.9,0.5,4.93801,0.944957,257.499
128,0.9,0.6,4.96793,0.960956,256.211
128,0.9,0.7,5.35616,0.952546,248.521
128,0.9,0.8,5.3297,0.955541,254.779
256,0.1,0.2,5.47347,0.9763,574.881
256,0.1,0.4,5.32386,0.973302,556.644
256,0.1,0.5,4.81432,0.978068,533.47
256,0.1,0.6,4.88792,0.982339,535.521
256,0.1,0.7,4.48863,0.979426,514.757
256,0.1,0.8,4.60049,0.98514,506.573
256,0.3,0.2,5.83656,0.968778,595.75
256,0.3,0.4,5.03273,0.974481,537.754
256,0.3,0.5,4.82121,0.976823,532.01
256,0.3,0.6,5.23038,0.972858,530.134
256,0.3,0.7,4.53976,0.975833,509.591
256,0.3,0.8,4.9078,0.98356,512.783
256,0.5,0.2,5.81221,0.966195,585.195
256,0.5,0.4,5.2086,0.969613,537.26
256,0.5,0.5,4.67791,0.981831,515.789
256,0.5,0.6,4.90176,0.980636,523.531
256,0.5,0.7,4.69401,0.978343,510.339
256,0.5,0.8,4.77199,0.978334,503.894
256,0.7,0.2,5.18466,0.971852,580.85
256,0.7,0.4,5.26916,0.978677,538.16
256,0.7,0.5,5.07555,0.979978,527.698
256,0.7,0.6,4.64354,0.980587,515.605
256,0.7,0.7,4.79716,0.977152,506.442
256,0.7,0.8,4.92961,0.974883,512.785
256,0.9,0.2,6.08693,0.965067,588.03
256,0.9,0.4,5.2389,0.976779,532.746
256,0.9,0.5,4.67186,0.97817,526.194
256,0.9,0.6,5.18422,0.971776,517.943
256,0.9,0.7,4.51315,0.96698,503.071
256,0.9,0.8,4.77968,0.97853,509.124
